State,Commercial,Electric Power,Residential,Industrial,Transportation,Total
Alabama,2.2,55.3,1.9,21.1,34.7,115.1
Alaska,2,2.8,1.5,16.8,11.9,34.9
Arizona,2.9,44.3,2.2,4.6,33.1,87
Arkansas,2.9,30.2,1.7,8.2,19.4,62.4
California,18.9,36.6,24.1,68.8,213,361.4
Colorado,3.9,35.3,7.5,14.3,28.2,89
Connecticut,3.9,7,6.3,1.9,15.3,34.3
Delaware,0.9,3.6,0.8,3.4,4.6,13.3
District of Columbia,0.9,0,0.6,0,1.2,2.8
Florida,7.3,105.9,1.2,12,103.6,230.1
Georgia,4.6,57.5,6.8,13.3,54,136.2
Hawaii,0.3,6.6,0,1.3,10.2,18.4
Idaho,1.4,1.3,1.6,3.4,10.8,18.4
Illinois,13.3,66.4,22.1,33.9,68.3,204.1
Indiana,5.2,83.7,7.6,42,43.4,181.9
Iowa,3.5,24.7,4.1,19.5,21.4,73.1
Kansas,2.4,24.8,3.4,12.8,18.7,62.1
Kentucky,2.7,72.6,2.9,13.5,32.2,123.9
Louisiana,2.2,36.1,1.8,121.7,47.3,209.1
Maine,1.6,1.5,2.9,1.5,8.9,16.5
Maryland,5.2,17.2,5.5,2.2,27.6,57.6
Massachusetts,7,10.7,11.4,3.4,31.7,64.2
Michigan,10.2,55.1,18.6,17.6,50.2,151.8
Minnesota,6.3,26.5,8.1,17,31.4,89.3
Mississippi,1.6,25.9,1.4,10.2,29.8,68.9
Missouri,4.2,61.7,5.6,8.1,38,117.7
Montana,1.4,16,1.5,3.8,7.9,30.5
Nebraska,1.8,21.2,2.2,9.6,13.8,48.6
Nevada,2.3,13.9,2.3,3.2,15,36.7
New Hampshire,1.4,2.4,2.5,0.8,6.7,13.8
New Jersey,10,19.7,13.6,9.6,58,110.8
New Mexico,1.7,23,2.1,7.4,14.2,48.4
New York,21.7,27.7,30.6,8.3,75.4,163.7
North Carolina,5.3,50.8,5.1,10.4,49.1,120.6
North Dakota,1,28.9,0.9,15.1,8.3,54.3
Ohio,11,80.6,16.2,35.5,63,206.3
Oklahoma,3,35.3,3.2,22.8,32.6,96.9
Oregon,2.1,7.8,2.5,5.1,20.4,38
Pennsylvania,10.7,82.1,18.4,45.6,60.7,217.4
Rhode Island,0.9,2.6,1.8,0.6,3.9,9.8
South Carolina,2.2,27.5,1.8,7.6,32.6,71.7
South Dakota,0.7,2.6,1,3.9,6.8,15
Tennessee,3.7,35.9,3.6,16.2,43.7,103.1
Texas,12.6,207.5,10.8,198,224.8,653.8
Utah,2.6,27.5,3.7,7.4,17.7,58.8
Vermont,0.9,0,1.3,0.4,3.4,6
Virginia,5.8,33.6,5.7,11.7,47.5,104.2
Washington,4.4,9.5,5.1,11,48.9,78.9
West Virginia,1.7,68.8,1.6,10.2,12.2,94.6
Wisconsin,5.9,38.5,8.7,13.1,29.5,95.6
Wyoming,1.1,40.3,0.9,10.7,7.8,60.7
Total,233.4,"1,796.50",298.6,940.4,"1,892.20","5,161.00"
